"Start Time (GMT)","End Time (GMT)","Service","Value"
"157/08:56:32","157/09:35:42","S AVAIL","true"
"157/09:02:57","157/09:35:42","KU AVAIL","true"
"157/09:45:23","157/10:15:08","S AVAIL","true"
"157/09:45:45","157/10:15:08","KU AVAIL","true"
"157/10:35:42","157/11:24:12","S AVAIL","true"
"157/10:39:14","157/11:24:12","KU AVAIL","true"
"157/11:24:32","157/11:49:58","KU AVAIL","true"
"157/11:24:32","157/11:49:58","S AVAIL","true"
"157/12:09:58","157/12:26:58","KU AVAIL","true"
"157/12:09:58","157/12:26:58","S AVAIL","true"
"157/12:27:18","157/13:04:33","KU AVAIL","true"
"157/12:27:18","157/13:04:33","S AVAIL","true"
"157/13:04:53","157/13:39:38","KU AVAIL","true"
"157/13:04:53","157/13:36:32","S AVAIL","true"
"157/13:39:58","157/14:09:29","KU AVAIL","true"
"157/13:39:58","157/14:09:29","S AVAIL","true"
"157/14:09:49","157/14:42:03","KU AVAIL","true"
"157/14:09:49","157/14:42:03","S AVAIL","true"
"157/14:42:23","157/15:17:34","KU AVAIL","true"
"157/14:42:23","157/15:17:34","S AVAIL","true"
"157/15:17:54","157/15:46:18","KU AVAIL","true"
"157/15:17:54","157/15:46:18","S AVAIL","true"
"157/15:46:38","157/16:23:19","KU AVAIL","true"
"157/15:46:38","157/16:23:19","S AVAIL","true"
"157/16:23:39","157/17:01:16","KU AVAIL","true"
"157/16:23:39","157/17:01:16","S AVAIL","true"
"157/17:01:36","157/17:27:32","KU AVAIL","true"
"157/17:01:36","157/17:27:32","S AVAIL","true"
"157/17:27:52","157/18:02:43","KU AVAIL","true"
"157/17:27:52","157/18:05:10","S AVAIL","true"
"157/18:05:30","157/18:41:06","KU AVAIL","true"
"157/18:06:30","157/18:41:06","S AVAIL","true"
"157/18:54:55","157/19:30:02","S AVAIL","true"
"157/19:04:16","157/19:30:02","KU AVAIL","true"
"157/19:39:05","157/20:26:15","S AVAIL","true"
"157/19:44:25","157/20:20:00","KU AVAIL","true"
"157/20:28:30","157/20:29:13","S AVAIL","true"
"157/20:33:04","157/21:05:25","KU AVAIL","true"
"157/20:42:08","157/21:05:25","S AVAIL","true"
"157/21:21:46","157/22:02:05","S AVAIL","true"
"157/21:21:49","157/22:02:56","KU AVAIL","true"
"157/22:12:02","157/22:13:36","KU AVAIL","true"
"157/22:14:43","157/22:42:59","KU AVAIL","true"
"157/22:15:44","157/22:42:59","S AVAIL","true"
"157/22:54:47","157/23:38:57","S AVAIL","true"
"157/22:55:16","157/23:38:57","KU AVAIL","true"
"157/23:54:32","157/23:55:51","KU AVAIL","true"
"157/23:54:38","158/00:24:44","S AVAIL","true"
"157/23:56:58","158/00:24:44","KU AVAIL","true"
"158/00:35:50","158/01:18:27","KU AVAIL","true"
"158/00:35:50","158/01:18:27","S AVAIL","true"
"158/01:36:51","158/02:09:19","KU AVAIL","true"
"158/01:37:14","158/01:38:30","S AVAIL","true"
"158/01:42:51","158/02:09:19","S AVAIL","true"
"158/02:20:26","158/03:01:20","KU AVAIL","true"
"158/02:20:26","158/02:51:49","S AVAIL","true"
"158/02:53:56","158/03:01:27","S AVAIL","true"
"158/03:18:50","158/03:22:29","S AVAIL","true"
"158/03:25:07","158/03:48:24","S AVAIL","true"
"158/03:25:35","158/03:48:24","KU AVAIL","true"
"158/03:57:11","158/04:42:58","KU AVAIL","true"
"158/03:57:11","158/04:42:58","S AVAIL","true"
"158/04:53:56","158/05:24:52","S AVAIL","true"
"158/05:03:10","158/05:24:52","KU AVAIL","true"
"158/05:37:42","158/06:22:36","S AVAIL","true"
"158/05:38:48","158/06:22:36","KU AVAIL","true"
"158/06:31:49","158/07:01:12","S AVAIL","true"
"158/06:36:57","158/07:01:12","KU AVAIL","true"
"158/07:15:41","158/08:01:48","KU AVAIL","true"
"158/07:15:41","158/08:01:11","S AVAIL","true"
"158/08:08:12","158/08:38:31","S AVAIL","true"
"158/08:14:16","158/08:38:31","KU AVAIL","true"
"158/08:56:51","158/09:39:21","S AVAIL","true"
